timestamp,truck_id,engine_temperature,hydraulic_pressure,vibration,speed,status,high_temp,low_pressure,high_vibration,low_speed,temp_mean,temp_std,temp_anomaly,abnormal_count,health_score,alert_level,alert_message
2026-01-01 00:00:00,HT-01,196.52,2932.89,0.38,28.02,normal,False,False,False,False,,,False,0,100,normal,no alert
2026-01-01 01:00:00,HT-01,189.8,3031.2,0.32,26.52,normal,False,False,False,False,,,False,0,100,normal,no alert
2026-01-01 02:00:00,HT-01,198.75,3115.53,0.53,20.06,normal,False,False,False,False,,,False,0,100,normal,no alert
2026-01-01 03:00:00,HT-01,199.7,3060.88,0.48,30.77,normal,False,False,False,False,,,False,0,100,normal,no alert
2026-01-01 04:00:00,HT-01,185.24,2770.87,0.69,23.0,normal,False,False,False,False,,,False,0,100,normal,no alert
2026-01-01 05:00:00,HT-01,188.49,3030.44,0.49,18.38,normal,False,False,False,False,193.08333333333334,6.018287685601829,False,0,100,normal,no alert
2026-01-01 06:00:00,HT-01,195.64,3007.2,0.49,20.82,normal,False,False,False,False,192.9366666666667,5.927828157653239,False,0,100,normal,no alert
2026-01-01 07:00:00,HT-01,193.42,3041.39,0.43,20.92,normal,False,False,False,False,193.54,5.725497358308703,False,0,100,normal,no alert
2026-01-01 08:00:00,HT-01,194.92,3161.62,0.53,25.21,normal,False,False,False,False,192.90166666666664,5.219618440716389,False,0,100,normal,no alert
2026-01-01 09:00:00,HT-01,190.73,2793.68,0.51,23.9,normal,False,False,False,False,191.40666666666667,4.03263520128793,False,0,100,normal,no alert
2026-01-01 10:00:00,HT-01,199.4,2940.89,0.58,23.65,normal,False,False,False,False,193.76666666666665,3.8408002638339296,False,0,100,normal,no alert
2026-01-01 11:00:00,HT-01,198.89,3059.09,0.4,27.48,normal,False,False,False,False,195.5,3.29051363771681,False,0,100,normal,no alert
2026-01-01 12:00:00,HT-01,195.33,2841.84,0.41,26.36,normal,False,False,False,False,195.44833333333335,3.2903095092509114,False,0,100,normal,no alert
2026-01-01 13:00:00,HT-01,200.64,3147.59,0.4,26.26,normal,False,False,False,False,196.65166666666664,3.695453512989591,False,0,100,normal,no alert
